sessionID,userID,kWhDelivered,Estimated_Revenue
2_39_123_557_2018-04-26 17:39:41.691514,,5.728,1.5488511
2_39_78_367_2018-04-26 18:43:12.499350,,2.528,0.6835712
2_39_91_441_2018-04-26 19:38:27.747784,,2.628,0.71061116
2_39_78_366_2018-04-26 20:17:40.431300,,1.306,0.35314238
2_39_131_30_2018-04-26 20:27:49.123093,,1.801,0.4869904
2_39_128_18_2018-04-26 21:02:29.696365,,5.576,1.5077504
2_39_78_363_2018-04-26 21:18:44.667990,,16.0,4.3264
2_39_91_437_2018-04-26 23:04:48.644211,,0.852,0.23038079
2_39_138_29_2018-04-27 01:17:42.537477,,1.829,0.49456158
2_39_125_21_2018-04-27 01:22:56.974212,,13.927,3.7658606
2_39_139_28_2018-04-27 01:40:51.744743,,13.872,3.7509885
2_39_127_19_2018-04-27 01:50:33.898642,,5.654,1.5288415
2_39_130_31_2018-04-27 02:04:42.603854,,2.558,0.6916832
2_39_79_379_2018-04-27 03:10:05.502403,,6.417,1.7351567
2_39_138_29_2018-04-27 03:29:59.143244,,5.56,1.5034239
2_39_79_380_2018-04-27 05:06:12.776665,,0.546,0.1476384
2_39_95_27_2018-04-27 13:16:27.810757,,11.323,3.061739
2_39_127_19_2018-04-27 14:14:38.589847,,3.981,1.0764624
2_39_79_383_2018-04-27 14:41:42.363419,,17.634,4.768234
2_39_79_378_2018-04-27 15:00:25.982759,,7.288,1.9706751
2_39_78_366_2018-04-27 15:09:06.128880,,6.236,1.6862143
2_39_123_557_2018-04-27 15:09:39.108889,,9.3,2.51472
2_39_79_377_2018-04-27 15:14:35.457339,,2.945,0.79632795
2_39_139_28_2018-04-27 15:15:12.301045,,4.85,1.3114399
2_39_131_30_2018-04-27 15:16:02.742679,,10.978,2.968451
2_39_79_380_2018-04-27 15:19:26.888099,,3.846,1.0399584
2_39_91_441_2018-04-27 15:27:26.624807,,19.124,5.1711297
2_39_78_367_2018-04-27 15:31:37.615451,,3.259,0.8812336
2_39_126_20_2018-04-27 15:42:36.345767,,13.972,3.7780287
2_39_78_361_2018-04-27 16:19:00.821882,,16.95,4.58328
2_39_123_23_2018-04-27 16:25:09.116295,,6.444,1.7424575
2_39_88_24_2018-04-27 16:27:56.738325,,9.064,2.4509056
2_39_90_26_2018-04-27 16:28:35.400244,,9.67,2.6147678
2_39_91_437_2018-04-27 16:37:18.422976,,30.553,8.261531
2_39_79_381_2018-04-27 16:38:51.959294,,2.485,0.67194396
2_39_89_25_2018-04-27 16:43:29.490040,,2.219,0.6000176
2_39_79_376_2018-04-27 16:47:18.146526,,5.606,1.5158623
2_39_90_440_2018-04-27 16:51:19.354387,,5.805,1.5696719
2_39_78_360_2018-04-27 16:56:15.157137,,11.729,3.1715214
2_39_92_442_2018-04-27 17:03:53.000602,,11.831,3.1991024
